id	filename	md5	size	state
bb793d6b-c26a-476a-8326-f954c935df83	45800593-f8ba-4a61-a3ca-6a4eab1cdcbf.wxs.aliquot_ensemble_masked.maf.gz	2bd311aa4bc242277f27c7eed2db6bb1	7665	released
0335db34-bd5e-4aa1-9f33-d2ef464e1900	542f529c-02ea-4351-86d1-c52f5fd82c88.wxs.aliquot_ensemble_masked.maf.gz	8d72a6e698c7327a6918e85a3295c9f6	325201	released
1b5cfaa6-89a4-4398-9625-d4dff85e9dcb	4e3c093b-5301-4f0d-bb36-df9045cf3b81.wxs.aliquot_ensemble_masked.maf.gz	882f0edbb27c9756577cd41f7f7438c2	44046	released
23ce4da5-fbaa-4aae-9ec2-c01686741f07	77ff04a7-97fc-4d8d-a83a-6d8e5ccb1780.wxs.aliquot_ensemble_masked.maf.gz	306ba0ce57185736dc350aa076ebcb7a	47193	released
61132188-579f-4baa-891f-9c9b2b3fae1f	e37894df-0715-4171-bb88-0b175dccee7f.wxs.aliquot_ensemble_masked.maf.gz	2cf3f44d7b0a32c23969d8a4ed876a57	101190	released
1514e062-9315-4208-81db-5233dcbc6c84	551c387c-fa75-4527-a136-a67083c94906.wxs.aliquot_ensemble_masked.maf.gz	4a00c09ff0c3bf394b30862f13abd544	54494	released
d23ed6b2-08f0-4c4f-90f9-1d6c447d8746	975fa153-bdd8-4bad-a012-14cedc6207df.wxs.aliquot_ensemble_masked.maf.gz	6f649a94cb89b1a018eb7c22a536ac2d	45675	released
d5fbde2a-0720-4cbc-8c8e-12cffc26f756	6cb0f4c0-6ac4-43e5-b792-3277b8c5916c.wxs.aliquot_ensemble_masked.maf.gz	c3436723113685d7427f907f9bb501d4	40687	released
f67a5417-7f4d-45c9-b686-4181fec6e118	c46369a8-76f2-4244-b45b-5108067d083e.wxs.aliquot_ensemble_masked.maf.gz	df05a2817c2ca94315b930df8e74e4b6	28348	released
14a94683-c72a-4864-8a31-5a00f14c8a64	3c93f22f-d08a-455c-b564-0223bf38a59c.wxs.aliquot_ensemble_masked.maf.gz	7acdeaaad58096cb2f83081eb9791f04	36886	released
1adb77d5-05ca-4783-aa81-c03f90cbd29c	8036f627-9675-4d29-bc62-70513910dbb0.wxs.aliquot_ensemble_masked.maf.gz	c1a98b2a73dd79a0759faa37e1a8cd0e	34522	released
8ae4018b-03b1-4f12-9a18-c4d00fb028d5	612b7045-911e-4e06-b071-2e90fd09edd3.wxs.aliquot_ensemble_masked.maf.gz	340f8699e9388056df69a98ef7a40917	86656	released
707e93da-6771-40d5-a659-c00d52a03846	3d89c579-2dbc-4694-9336-e1fddbf28112.wxs.aliquot_ensemble_masked.maf.gz	5887fb21c810dd4d63348effd1e0c74a	62697	released
ba730546-9006-4745-8dea-27c385dc1597	b2891830-0996-4dc1-86cd-486af705f5d3.wxs.aliquot_ensemble_masked.maf.gz	8650fb1bd5517fcd47f1ed7fbdf4c199	42597	released
0766894f-a0a4-4c08-b406-6c1710d7e95d	1a90acac-605d-47bb-82a4-9dc06fa81c76.wxs.aliquot_ensemble_masked.maf.gz	4a3e00aaad21ead18610f0ff627ad9d9	55237	released
e434f58d-ee62-47d2-9590-602fe1e66baa	838c8889-dfcd-4640-a5b9-b3d0b286f3ff.wxs.aliquot_ensemble_masked.maf.gz	40180c2b8aa6ad2c2848ac2c809a2379	44893	released
ad8c9e13-ae45-4054-939c-e4ea3ab59980	6ecd19ea-b03d-4681-a3f9-931a65c02cba.wxs.aliquot_ensemble_masked.maf.gz	fd816253aab3bfbf64aac4b930d0ea6a	356631	released
8d29282c-2a9c-415b-9cff-f8ade8289bd4	b5609c15-d696-4d59-a3ee-7610bc2b12e7.wxs.aliquot_ensemble_masked.maf.gz	257a1eb367f258e68c9292d12e619244	57141	released
470708b0-6e9c-4dce-9241-d55f988a2b4f	f4c90c75-15d3-4dca-b0c9-808c681b23f7.wxs.aliquot_ensemble_masked.maf.gz	210cb9b637fe2e8cd368b09d7972c37b	46885	released
fe3e76a0-87d7-40ee-b31f-ecc7be8ebbcc	8fff72e5-f0b0-4ac2-9059-be82039eee1d.wxs.aliquot_ensemble_masked.maf.gz	1cbf3a65281dfc936718545e38ebb9b2	59192	released
1b69d114-8eb7-4fed-b2b0-999428ccdc31	0b655996-65cc-4921-b40c-8496a3c2630d.wxs.aliquot_ensemble_masked.maf.gz	421e215ee16baa63c7ef72accb6182b4	37828	released
19f871ec-6d73-4193-90e8-1b1d504bffaa	f8a93d8c-0e31-4014-98a9-1da0f1053049.wxs.aliquot_ensemble_masked.maf.gz	73aa79598f13c15e77247a35dc9e61ff	49213	released
d6367fc2-4a7a-4051-82bc-6ccdd36c5b8a	0163183f-26ff-48e0-ac65-687173ab1e99.wxs.aliquot_ensemble_masked.maf.gz	98af5f8d1fc8d345536fd68112acc1bf	58633	released
742c7bed-76ba-478f-bd20-85d394753999	d7073f00-b8b2-4108-bbf8-c9aead897155.wxs.aliquot_ensemble_masked.maf.gz	987ecafa37d021b80ae468291b629f2a	41199	released
79ccdd0e-070b-46f8-b55d-1e5465516a10	b62ecd6d-c88c-4e92-8aa6-5285cf9708da.wxs.aliquot_ensemble_masked.maf.gz	ffb5cc19886c742c841c1f0ce29a292f	507306	released
78696241-a113-4bde-9be1-6d16238ca15f	4ec0d79d-7c2d-4bb8-86d0-822acd67de1b.wxs.aliquot_ensemble_masked.maf.gz	acce91e7b0dc2fc6a6436034104459ed	54130	released
aa3f9607-5275-4077-a7c2-2d1a0ee133fd	248652a8-2ec8-43e4-949c-4b141de58fdc.wxs.aliquot_ensemble_masked.maf.gz	3a0db1bb224c566a6bc3c874d7fa24f6	38492	released
21030d58-debe-42aa-b940-e26994487097	7ceb6e5b-03b0-48f4-9b8f-a46d0694c0b7.wxs.aliquot_ensemble_masked.maf.gz	5aa60a87c32c492d9d57bb0c527a0501	462671	released
6a5a3448-73b6-49c3-8c85-a69592533cec	4e774afc-3ca8-4b41-bb12-67eaa36f5c3c.wxs.aliquot_ensemble_masked.maf.gz	8701ef141156499435d94a5340b46ec7	1140	released
1e2f4b9d-6bed-4067-8e54-e6b7bf0e415f	13a5a5d4-2992-460d-b644-b7c798b9e1b7.wxs.aliquot_ensemble_masked.maf.gz	efee1f446dc531e33488f956feb88c67	59781	released
41d5d0c4-2643-4306-b282-f4129ea7310b	7787d682-70a7-4f59-a65e-e7627a383a28.wxs.aliquot_ensemble_masked.maf.gz	c643947212305be30c2520b52b8312e7	656878	released
7a3c33bf-df0b-4059-a49a-63421e9a02d9	e7348206-0264-4fd1-98f1-cbc14d7fe56b.wxs.aliquot_ensemble_masked.maf.gz	4e0d3429c3061460b62dbe2cdf6f5a84	750204	released
9a085d44-6e4b-4ec9-a907-c06d02861448	328861df-5da9-4bbf-92c4-73aded9bde52.wxs.aliquot_ensemble_masked.maf.gz	8bbb43d77b4e813a0f70e45b9a990f33	26818	released
153fa53b-0476-40cb-9bce-21f529c0ea8d	448c3c97-e16c-4391-83f6-a83c50af832e.wxs.aliquot_ensemble_masked.maf.gz	f8dae6bf8ac7c1944bfc2cd01ac45b8d	368127	released
2a784549-772c-4507-8798-35ed43013eea	dc733e12-8edf-49bd-8f45-1fb20dbc2689.wxs.aliquot_ensemble_masked.maf.gz	a29805d32a95669de1337f39e473bc8e	32942	released
296ea04b-4e00-462f-af01-5a431133dc00	9056a9fe-c9ee-4c77-96aa-6c324d22e2fa.wxs.aliquot_ensemble_masked.maf.gz	4deaaa545b466b1272273efdef14611b	75145	released
c2a32290-b13b-4b35-82a2-d1340dbd853f	061d5ea3-4981-4ac2-be0e-16db76157644.wxs.aliquot_ensemble_masked.maf.gz	7ba89277e6005a5621d9f34fde27f8ef	26374	released
8fda8c35-8f2a-4a64-8868-830f89bee1eb	6007cc94-9542-4fd5-b2b9-1bb221a95757.wxs.aliquot_ensemble_masked.maf.gz	90939705de3d192da926fa7cd8db2b1b	28765	released
